"",Orthogroup,"omegaCany2spe","OCNany2any","OCNspe2any","OCNany2spe","OCSany2any","OCSspe2any","OCSany2spe","dNCany2spe","dSCany2spe","arity","branch_id_1","branch_id_2","branch_id_3","branch_id_4"
"1","104437258",88903.596,4.0163,3.98,3.9801,0.0085,0.0035,1e-04,15.2509,2e-04,"2",4,18,NA,NA
"2","104437258",85.2602,5.8686,5.4054,3.8503,4.6626,4.4111,0.1469,5.4439,0.0639,"2",10,21,NA,NA
"3","104437258",4816.6802,4.7524,4.7297,3.9054,2.0466,1.8306,0.0022,5.1494,0.0011,"2",14,21,NA,NA
"4","104437258",3.58,6.8573,6.2876,3.9328,3.8321,2.8937,1.8844,4.0403,1.1286,"2",14,47,NA,NA
"5","104437258",980.8913,4.0082,4.0055,3.0098,0.0713,0.0344,0.0106,9.5638,0.0098,"2",14,60,NA,NA
"6","104437258",328.2218,5.9755,4.9576,3.9627,1.0454,0.0299,0.0232,5.9049,0.018,"2",14,75,NA,NA
"7","104437258",8.3809,8.0964,7.9855,3.9892,4.6012,2.3958,1.4248,3.7094,0.4426,"2",18,47,NA,NA
"8","104437258",4.9116,4.9458,4.8308,3.8634,3.1128,2.9629,1.9694,4.6105,0.9387,"2",18,148,NA,NA
"9","104437258",5.2578,4.4422,3.2672,3.138,7.8252,7.1872,1.6538,3.1113,0.5917,"2",19,30,NA,NA
"10","104437258",5.8912,7.8314,7.1013,4.2021,10.0757,7.2119,2.2713,5.5027,0.9341,"2",21,30,NA,NA
"11","104437258",9.4211,7.9637,7.1768,3.199,6.3399,4.6658,0.9989,5.0017,0.5309,"2",21,84,NA,NA
"12","104437258",13.3639,3.7419,3.7031,3.7356,1.0772,1.0445,0.8154,12.2667,0.9179,"2",21,129,NA,NA
"13","104437258",13.0033,5.6275,5.3097,3.1217,2.5057,1.9097,0.8352,4.9218,0.3785,"2",23,36,NA,NA
"14","104437258",1204.3903,3.7428,3.7122,3.1011,1.3891,0.2323,0.0092,9.3162,0.0077,"2",23,121,NA,NA
"15","104437258",3.2666,3.9971,3.9539,3.6968,3.8064,3.5671,2.7911,7.8763,2.4111,"2",23,145,NA,NA
"16","104437258",13.0673,5.9173,5.9033,3.9746,2.4741,2.4551,0.9841,7.2947,0.5582,"2",23,148,NA,NA
"17","104437258",254.9116,5.7746,4.734,3.9887,0.4156,0.1166,0.0402,6.6687,0.0262,"2",26,42,NA,NA
"18","104437258",8.626,8.2669,7.9334,3.6277,5.5883,5.2643,1.0122,3.5065,0.4065,"2",26,56,NA,NA
"19","104437258",3.628,9.1945,6.9672,5.6694,3.3326,3.0926,2.9756,3.7779,1.0413,"2",26,74,NA,NA
"20","104437258",4.6353,5.4399,4.7681,3.3281,3.739,3.4988,1.2468,5.3721,1.159,"2",28,50,NA,NA
"21","104437258",4.835,4.7961,3.6569,3.7822,8.3415,5.999,2.131,4.3761,0.9051,"2",28,74,NA,NA
"22","104437258",4.4596,6.1741,4.2717,3.2133,5.6461,4.8786,2.0121,6.3403,1.4217,"2",28,88,NA,NA
"23","104437258",3.5287,4.6715,3.7716,3.207,5.6531,5.4899,2.4141,3.8303,1.0855,"2",28,112,NA,NA
"24","104437258",3,5.6251,4.376,3.17,2.9731,2.5998,1.7219,2.907,0.969,"2",30,84,NA,NA
"25","104437258",10.2775,4.8055,4.6392,4.6687,4.2014,3.946,1.0115,9.2912,0.904,"2",30,149,NA,NA
